23:28:13.266 [http-nio-8082-exec-6] INFO  o.u.i.s.p.ParticipantService - [ParticipantService] Extracted collaboration with 3 participants
23:28:13.268 [http-nio-8082-exec-6] INFO  o.u.i.s.x.m.DestinationXmlService - [DestinationXmlService] patched <space:destination>='place2' on Activity_139uv9k
23:28:13.269 [http-nio-8082-exec-6] INFO  o.u.i.l.e.MovementExecutionListener - [MOVEMENT] WAITING | Activity: Activity_139uv9k - Move to Rental Office | Participant: Customer (Participant_1mdszue) | Destination: place2 | Timer: (empty)
23:28:13.270 [http-nio-8082-exec-6] INFO  o.u.i.s.e.m.MovementTaskRegistry - [MovementRegistry] Registered movement task | Participant: Participant_1mdszue | Activity: Activity_139uv9k | Destination: place2 | ExecutionId: eab64284-23e2-11f1-ae2c-4a84ddaf9f81 | Timer: (empty)
23:28:13.270 [http-nio-8082-exec-6] INFO  o.u.i.activity.WaitStateActivity - [WaitStateActivity] Activity 'Activity_139uv9k' has entered wait state.
23:28:21.025 [http-nio-8082-exec-2] INFO  o.u.i.c.EnvironmentController - [Environment API] Participant 'Participant_1mdszue' position set to: place2
23:28:21.511 [scheduling-1] INFO  o.u.i.s.e.m.MovementTaskRegistry - [MovementRegistry] ✓ Participant Participant_1mdszue reached destination place2 | Completing task
23:28:21.513 [scheduling-1] INFO  o.u.i.activity.WaitStateActivity - [WaitStateActivity] Signal received for activity 'Activity_139uv9k'. signalName=null, signalData=null
23:28:21.514 [scheduling-1] INFO  o.u.i.s.x.m.DestinationXmlService - [DestinationXmlService] restored <space:destination>='place2' on Activity_139uv9k
23:28:21.515 [scheduling-1] INFO  o.u.i.s.e.m.MovementTaskRegistry - [MovementRegistry] Removed movement task for participant: Participant_1mdszue (execution=eab64284-23e2-11f1-ae2c-4a84ddaf9f81)
23:28:21.515 [scheduling-1] INFO  o.u.i.l.e.MovementExecutionListener - [MOVEMENT] Task completed for participant Participant_1mdszue (execution=eab64284-23e2-11f1-ae2c-4a84ddaf9f81)
23:28:21.521 [scheduling-1] INFO  o.u.i.s.ExclusiveGatewayGuardRegistry - [ExclusiveGatewayRegistry] Registered gateway Gateway_0c2cfji (execution=eab64284-23e2-11f1-ae2c-4a84ddaf9f81) with 2 guarded outgoing flows
23:28:21.521 [scheduling-1] INFO  o.u.i.l.e.ExclusiveGatewayExecutionListener - [ExclusiveGatewayListener] Gateway Gateway_0c2cfji entered wait mode with 2 guarded flows
23:28:21.521 [scheduling-1] INFO  o.u.i.activity.WaitStateActivity - [WaitStateActivity] Activity 'Gateway_0c2cfji' has entered wait state.
23:28:21.524 [scheduling-1] INFO  o.u.i.s.e.m.MovementTaskRegistry - [MovementRegistry] Task completed successfully for participant Participant_1mdszue
23:28:21.723 [scheduling-1] INFO  o.u.i.s.SequenceFlowGuardEvaluator - [SequenceFlowGuardEvaluator] Guard evaluation for Flow_10ngm4s (myPlace().rain == true): false
23:28:21.767 [scheduling-1] INFO  o.u.i.s.SequenceFlowGuardEvaluator - [SequenceFlowGuardEvaluator] Guard evaluation for Flow_1j9bs26 (myPlace().rain == false): true
