18:22:25.216 [scheduling-1] INFO  o.u.i.s.p.ParticipantService - [ParticipantService] Extracted collaboration with 3 participants
18:22:25.217 [scheduling-1] INFO  o.u.i.s.x.m.DestinationXmlService - [DestinationXmlService] patched <space:destination>='set6' on Activity_01vg59j
18:22:25.217 [scheduling-1] INFO  o.u.i.l.e.MovementExecutionListener - [MOVEMENT] WAITING | Activity: Activity_01vg59j - Move to emergency area | Participant: Ambulance (Participant_1mdszue) | Destination: set6 | Timer: (empty)
18:22:25.217 [scheduling-1] INFO  o.u.i.s.e.m.MovementTaskRegistry - [MovementRegistry] Registered movement task | Participant: Participant_1mdszue | Activity: Activity_01vg59j | Destination: set6 | ExecutionId: 0800bcd2-22ef-11f1-ac2f-6ee3202e5531 | Timer: (empty)
18:22:25.218 [scheduling-1] INFO  o.u.i.activity.WaitStateActivity - [WaitStateActivity] Activity 'Activity_01vg59j' has entered wait state.
18:22:25.221 [scheduling-1] INFO  o.u.i.s.EnvironmentConditionalStartService - [EnvironmentConditionalStart] Triggered process 'Ambulance' from StartEvent 'Event_1gab403' with guard 'Rescue Areas.count > 0' | BK=a
18:22:39.299 [http-nio-8082-exec-3] INFO  o.u.i.service.MessageFlowRegistry - [MessageFlowRegistry] Registered binding flow: Activity_10bide9 -> Activity_0046b8v (participants: Participant_3def456 -> Participant_1mdszue)
18:22:39.299 [http-nio-8082-exec-3] INFO  o.u.i.service.MessageFlowRegistry - [MessageFlowRegistry] Registered binding flow: Activity_1jh86be -> Activity_0rc0d2n (participants: Participant_2abc123 -> Participant_3def456)
18:22:39.299 [http-nio-8082-exec-3] INFO  o.u.i.service.MessageFlowRegistry - [MessageFlowRegistry] Registered unbinding flow: Activity_0zhyuds -> Activity_0p98ust (participants: Participant_2abc123 -> Participant_3def456)
18:22:39.300 [http-nio-8082-exec-3] INFO  o.u.i.service.MessageFlowRegistry - [MessageFlowRegistry] Registered unbinding flow: Activity_0foii35 -> Activity_0zz15az (participants: Participant_3def456 -> Participant_1mdszue)
18:22:39.300 [http-nio-8082-exec-3] INFO  o.u.i.service.MessageFlowRegistry - [MessageFlowRegistry] Late registration of flows for process: Nurse:1:07dfee5e-22ef-11f1-ac2f-6ee3202e5531
18:22:39.300 [http-nio-8082-exec-3] INFO  o.u.i.l.e.BindingExecutionListener - [BINDING] Task Activity_1jh86be started - Participant Nurse (Participant_2abc123) waiting for Patient (Participant_3def456) | Timer: (empty)
18:22:39.300 [http-nio-8082-exec-3] INFO  o.u.i.s.e.b.BindingTaskRegistry - [BindingRegistry] Registering task: BK=a | Participant_2abc123 -> Participant_3def456 | exec=106776cb-22ef-11f1-ac2f-6ee3202e5531 | activity=Activity_1jh86be | timer=(empty)
18:22:39.300 [http-nio-8082-exec-3] INFO  o.u.i.s.e.b.BindingTaskRegistry - [BindingRegistry] Registered waiting binding task | BK: a | participant: Participant_2abc123 -> target: Participant_3def456
