10:43:59.252 [scheduling-1] INFO  o.u.i.s.p.ParticipantService - [ParticipantService] Extracted collaboration with 2 participants
10:43:59.253 [scheduling-1] INFO  o.u.i.s.x.m.DestinationXmlService - [DestinationXmlService] patched <space:destination>='Lp_1yqx9h' on Activity_1ucrz0n
10:43:59.254 [scheduling-1] INFO  o.u.i.l.e.MovementExecutionListener - [MOVEMENT] WAITING | Activity: Activity_1ucrz0n - Move to crop area | Participant: Robot Planter (Participant_1fejmk0) | Destination: Lp_1yqx9h | Timer: 60.0
10:43:59.254 [scheduling-1] INFO  o.u.i.s.e.m.MovementTaskRegistry - [MovementRegistry] Registered movement task | Participant: Participant_1fejmk0 | Activity: Activity_1ucrz0n | Destination: Lp_1yqx9h | ExecutionId: fd2db158-22ae-11f1-a061-6ee3202e5531 | Timer: 60.0
10:43:59.254 [scheduling-1] INFO  o.u.i.activity.WaitStateActivity - [WaitStateActivity] Activity 'Activity_1ucrz0n' has entered wait state.
10:43:59.261 [scheduling-1] INFO  o.u.i.s.EnvironmentConditionalStartService - [EnvironmentConditionalStart] Triggered process 'RobotPlanter' from StartEvent 'Event_06p37pb' with guard 'Crop Areas.count > 0'
10:44:01.131 [scheduling-1] INFO  o.u.i.s.e.m.MovementTaskRegistry - [MovementRegistry] Movement timer started | participant=Participant_1fejmk0 | activity=Activity_1ucrz0n | execution=fd2db158-22ae-11f1-a061-6ee3202e5531 | destination=Lp_1yqx9h | timer=60.0s
10:44:20.950 [http-nio-8082-exec-2] INFO  o.u.i.c.EnvironmentController - [Environment API] Participant 'Participant_1fejmk0' position set to: place2
10:44:39.850 [http-nio-8082-exec-4] INFO  o.u.i.c.EnvironmentController - [Environment API] Participant 'Participant_1fejmk0' position set to: place4
10:44:41.126 [scheduling-1] INFO  o.u.i.s.e.m.MovementTaskRegistry - [MovementRegistry] ✓ Participant Participant_1fejmk0 reached destination Lp_1yqx9h | Completing task
10:44:41.130 [scheduling-1] INFO  o.u.i.activity.WaitStateActivity - [WaitStateActivity] Signal received for activity 'Activity_1ucrz0n'. signalName=null, signalData=null
10:44:41.136 [scheduling-1] INFO  o.u.i.s.x.m.DestinationXmlService - [DestinationXmlService] restored <space:destination>='Lp_1yqx9h' on Activity_1ucrz0n
10:44:41.137 [scheduling-1] INFO  o.u.i.s.e.m.MovementTaskRegistry - [MovementRegistry] Removed movement task for participant: Participant_1fejmk0
10:44:41.137 [scheduling-1] INFO  o.u.i.l.e.MovementExecutionListener - [MOVEMENT] Task completed for participant Participant_1fejmk0
