10:54:53.544 [scheduling-1] INFO  o.u.i.s.p.ParticipantService - [ParticipantService] Extracted collaboration with 2 participants
10:54:53.546 [scheduling-1] INFO  o.u.i.s.x.m.DestinationXmlService - [DestinationXmlService] patched <space:destination>='Lp_g8qwph' on Activity_1ucrz0n
10:54:53.546 [scheduling-1] INFO  o.u.i.l.e.MovementExecutionListener - [MOVEMENT] WAITING | Activity: Activity_1ucrz0n - Move to dry area | Participant: Robot Sprinkler (Participant_0yrbhi5) | Destination: Lp_g8qwph | Timer: 60.0
10:54:53.546 [scheduling-1] INFO  o.u.i.s.e.m.MovementTaskRegistry - [MovementRegistry] Registered movement task | Participant: Participant_0yrbhi5 | Activity: Activity_1ucrz0n | Destination: Lp_g8qwph | ExecutionId: 832aba6b-22b0-11f1-9501-6ee3202e5531 | Timer: 60.0
10:54:53.547 [scheduling-1] INFO  o.u.i.activity.WaitStateActivity - [WaitStateActivity] Activity 'Activity_1ucrz0n' has entered wait state.
10:54:53.557 [scheduling-1] INFO  o.u.i.s.EnvironmentConditionalStartService - [EnvironmentConditionalStart] Triggered process 'RobotSprinkler' from StartEvent 'Event_06p37pb' with guard 'Dry Areas.count > 0'
10:54:55.360 [scheduling-1] INFO  o.u.i.s.e.m.MovementTaskRegistry - [MovementRegistry] Movement timer started | participant=Participant_0yrbhi5 | activity=Activity_1ucrz0n | execution=832aba6b-22b0-11f1-9501-6ee3202e5531 | destination=Lp_g8qwph | timer=60.0s
10:55:17.464 [http-nio-8082-exec-7] INFO  o.u.i.c.EnvironmentController - [Environment API] Participant 'Participant_0yrbhi5' position set to: place1
10:55:19.358 [scheduling-1] INFO  o.u.i.s.e.m.MovementTaskRegistry - [MovementRegistry] ✓ Participant Participant_0yrbhi5 reached destination Lp_g8qwph | Completing task
10:55:19.368 [scheduling-1] INFO  o.u.i.activity.WaitStateActivity - [WaitStateActivity] Signal received for activity 'Activity_1ucrz0n'. signalName=null, signalData=null
10:55:19.372 [scheduling-1] INFO  o.u.i.s.x.m.DestinationXmlService - [DestinationXmlService] restored <space:destination>='Lp_g8qwph' on Activity_1ucrz0n
10:55:19.372 [scheduling-1] INFO  o.u.i.s.e.m.MovementTaskRegistry - [MovementRegistry] Removed movement task for participant: Participant_0yrbhi5
10:55:19.372 [scheduling-1] INFO  o.u.i.l.e.MovementExecutionListener - [MOVEMENT] Task completed for participant Participant_0yrbhi5
10:55:19.378 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [EnvironmentalRegistry] Registered environmental task | activity=Activity_0x4uste | execution=9290fd3b-22b0-11f1-9501-6ee3202e5531 | guard='(empty)' | action='waterArea' | participantId=Participant_0yrbhi5 | timer=60.0
10:55:19.378 [scheduling-1] INFO  o.u.i.l.e.EnvironmentalExecutionListener - [ENVIRONMENTAL] WAITING | Activity: Activity_0x4uste - Water area | Guard: (empty) | Action: waterArea | Timer: 60.0
10:55:19.378 [scheduling-1] INFO  o.u.i.activity.WaitStateActivity - [WaitStateActivity] Activity 'Activity_0x4uste' has entered wait state.
10:55:19.384 [scheduling-1] INFO  o.u.i.s.e.m.MovementTaskRegistry - [MovementRegistry] Task completed successfully for participant Participant_0yrbhi5
10:55:19.385 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Empty guard expression for activity Activity_0x4uste -> auto-pass
10:55:19.391 [scheduling-1] WARN  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Cannot notify participant 'Participant_0yrbhi5' for action 'waterArea' because businessKey is unavailable (execution=9290fd3b-22b0-11f1-9501-6ee3202e5531)
10:55:19.392 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [EnvironmentalRegistry] Action timer started | activity=Activity_0x4uste | execution=9290fd3b-22b0-11f1-9501-6ee3202e5531 | action='waterArea' | timer=60.0s
10:55:21.357 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Empty guard expression for activity Activity_0x4uste -> auto-pass
10:55:23.201 [http-nio-8082-exec-6] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Empty guard expression for activity Activity_0x4uste -> auto-pass
10:55:23.357 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Empty guard expression for activity Activity_0x4uste -> auto-pass
10:55:25.357 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Empty guard expression for activity Activity_0x4uste -> auto-pass
